business_name,phone,phone_type,category,city,state,source,discovery_method,website,is_sole_proprietor,found_at
Barrellibarber,(985) 412-8185,website,barber,Cypress Cove,LA,bing:barrellibarber.com,bing_website,https://barrellibarber.com,True,2026-07-28T06:45:26
Findingouradventure,(225) 596-5294,website,barber,Hagen (historical),LA,bing:findingouradventure.com,bing_website,https://www.findingouradventure.com,True,2026-07-28T06:52:09
Mrmightyelectric,(225) 367-3768,website,electrician,Robson,LA,bing:mrmightyelectric.com,bing_website,https://www.mrmightyelectric.com,True,2026-07-28T06:45:30
Ia902800.Us.Archive.Org,(504) 401-1782,website,hvac,Norma,LA,bing:ia902800.us.archive.org,bing_website,https://ia902800.us.archive.org,True,2026-07-28T06:45:56
Ia902800.Us.Archive.Org,(318) 384-9128,website,hvac,Norma,LA,bing:ia902800.us.archive.org,bing_website,https://ia902800.us.archive.org,True,2026-07-28T06:45:56
Airbnb,(337) 365-7992,website,hvac,Plaza 12 Garden Homes,LA,bing:airbnb.com,bing_website,https://www.airbnb.com,True,2026-07-28T06:46:23
Tradingview,(985) 363-3024,website,hvac,Jaco Mobile Home Park,LA,bing:tradingview.com,bing_website,https://www.tradingview.com,True,2026-07-28T06:47:31
Jonathanadler,(225) 969-2578,website,hvac,Edith,LA,bing:jonathanadler.com,bing_website,https://jonathanadler.com,True,2026-07-28T06:47:31
Jonathanadler,(337) 618-6402,website,hvac,Edith,LA,bing:jonathanadler.com,bing_website,https://jonathanadler.com,True,2026-07-28T06:47:31
Finanzen.Net,(985) 438-6682,website,hvac,Meadow Creek Ranch,LA,bing:finanzen.net,bing_website,https://www.finanzen.net,True,2026-07-28T06:48:10
Scribd,(225) 440-8967,website,hvac,Red River Landing,LA,bing:scribd.com,bing_website,https://www.scribd.com,True,2026-07-28T06:50:37
Scribd,(318) 665-7131,website,hvac,Red River Landing,LA,bing:scribd.com,bing_website,https://www.scribd.com,True,2026-07-28T06:50:37
Icc Cricket,(225) 263-2260,website,hvac,Goldman,LA,bing:icc-cricket.com,bing_website,https://www.icc-cricket.com,True,2026-07-28T06:50:42
Antarcticacruises,(504) 605-7394,website,hvac,Naka,LA,bing:antarcticacruises.com,bing_website,https://www.antarcticacruises.com,True,2026-07-28T06:52:09
Antarcticacruises,(985) 376-0726,website,hvac,Naka,LA,bing:antarcticacruises.com,bing_website,https://www.antarcticacruises.com,True,2026-07-28T06:52:09
Lsc.Gov,(337) 366-9801,website,hvac,Clarks,LA,bing:lsc.gov,bing_website,https://www.lsc.gov,True,2026-07-28T06:56:45
Baystreetyard,(337) 852-1857,website,landscaping,Billis (historical),LA,bing:baystreetyard.com,bing_website,https://baystreetyard.com,True,2026-07-28T06:45:35
Us.Grounds Fw,(318) 713-7842,website,landscaping,Audubon,LA,bing:us.grounds-fw.com,bing_website,https://us.grounds-fw.com,True,2026-07-28T06:47:12
Us.Grounds Fw,(318) 340-2290,website,landscaping,Audubon,LA,bing:us.grounds-fw.com,bing_website,https://us.grounds-fw.com,True,2026-07-28T06:47:12
Familyautoandquiklube,(337) 477-5367,website,mechanic,Oakcreek Estates Mobile Home Park,LA,bing:familyautoandquiklube.com,bing_website,https://familyautoandquiklube.com,True,2026-07-28T06:52:17
Pornhub,(225) 538-3871,website,nurse,Noble Manor,LA,bing:pornhub.com,bing_website,https://www.pornhub.com,True,2026-07-28T06:48:32
Pornhub,(225) 823-5721,website,nurse,Chackbay,LA,bing:pornhub.com,bing_website,https://www.pornhub.com,True,2026-07-28T06:52:19
Pornhub,(318) 965-4861,website,nurse,Hicks,LA,bing:pornhub.com,bing_website,https://www.pornhub.com,True,2026-07-28T06:54:26
Pornhub,(985) 571-6181,website,nurse,Oak Alley,LA,bing:pornhub.com,bing_website,https://www.pornhub.com,True,2026-07-28T06:57:22
Auntdominant.Tumblr,(318) 813-4680,website,physical_therapy,Hidden Oaks,LA,bing:auntdominant.tumblr.com,bing_website,https://auntdominant.tumblr.com,True,2026-07-28T06:45:49
Tumblr,(504) 983-4330,website,physical_therapy,Pate Place,LA,bing:tumblr.com,bing_website,https://www.tumblr.com,True,2026-07-28T06:46:33
Tumblr,(504) 984-3617,website,physical_therapy,Pate Place,LA,bing:tumblr.com,bing_website,https://www.tumblr.com,True,2026-07-28T06:46:33
Cellphones.Vn,(337) 955-1186,website,plumber,Welcome,LA,bing:cellphones.com.vn,bing_website,https://cellphones.com.vn,True,2026-07-28T06:53:10
Capitolroofinginc,(985) 955-6332,website,roofer,Nairn,LA,bing:capitolroofinginc.com,bing_website,https://www.capitolroofinginc.com,True,2026-07-28T06:45:27
Capitolroofinginc,(318) 255-2504,website,roofer,Nairn,LA,bing:capitolroofinginc.com,bing_website,https://www.capitolroofinginc.com,True,2026-07-28T06:45:27
Growtherapy,(225) 999-9999,website,therapist,Redwine (historical),LA,bing:growtherapy.com,bing_website,https://growtherapy.com,True,2026-07-28T06:45:28
