SELF-PROXY SCANNER — Uses our own VPS IPs as proxy network
States: ['LA'] | Workers: 150 | chunked list (bounded RAM)
Self-proxy pool: 7 unique VPS IPs
SHARD: 0/1 (env) — only scanning 1/1 of the space, zero overlap with other nodes
============================================================
        5/1,000,000 | 46/min | ETA:363h | 300 searches
        6/1,000,000 | 20/min | ETA:828h | 600 searches
        7/1,000,000 | 14/min | ETA:1164h | 900 searches
        9/1,000,000 | 14/min | ETA:1189h | 1,200 searches
        9/1,000,000 | 12/min | ETA:1421h | 1,500 searches
        9/1,000,000 | 10/min | ETA:1724h | 1,800 searches
       10/1,000,000 | 9/min | ETA:1857h | 2,100 searches
       12/1,000,000 | 10/min | ETA:1734h | 2,400 searches
       12/1,000,000 | 8/min | ETA:1961h | 2,700 searches
       12/1,000,000 | 8/min | ETA:2196h | 3,000 searches
       12/1,000,000 | 7/min | ETA:2445h | 3,300 searches
       14/1,000,000 | 8/min | ETA:2218h | 3,600 searches
       14/1,000,000 | 7/min | ETA:2402h | 3,900 searches
       17/1,000,000 | 8/min | ETA:2133h | 4,200 searches
       17/1,000,000 | 7/min | ETA:2334h | 4,500 searches
       17/1,000,000 | 7/min | ETA:2511h | 4,800 searches
       17/1,000,000 | 6/min | ETA:2644h | 5,100 searches
       18/1,000,000 | 6/min | ETA:2662h | 5,400 searches
       18/1,000,000 | 6/min | ETA:2812h | 5,700 searches
       19/1,000,000 | 6/min | ETA:2818h | 6,000 searches
       19/1,000,000 | 6/min | ETA:2978h | 6,300 searches
       19/1,000,000 | 5/min | ETA:3145h | 6,600 searches
       19/1,000,000 | 5/min | ETA:3306h | 6,900 searches
       19/1,000,000 | 5/min | ETA:3487h | 7,200 searches
       19/1,000,000 | 5/min | ETA:3587h | 7,500 searches
       19/1,000,000 | 4/min | ETA:3707h | 7,800 searches
       19/1,000,000 | 4/min | ETA:3838h | 8,100 searches
       19/1,000,000 | 4/min | ETA:3990h | 8,400 searches
       19/1,000,000 | 4/min | ETA:4146h | 8,700 searches
       19/1,000,000 | 4/min | ETA:4315h | 9,000 searches
       19/1,000,000 | 4/min | ETA:4472h | 9,300 searches
       21/1,000,000 | 4/min | ETA:4165h | 9,600 searches
       22/1,000,000 | 4/min | ETA:4097h | 9,900 searches
       22/1,000,000 | 4/min | ETA:4215h | 10,200 searches
       22/1,000,000 | 4/min | ETA:4343h | 10,500 searches
       22/1,000,000 | 4/min | ETA:4429h | 10,800 searches
       22/1,000,000 | 4/min | ETA:4506h | 11,100 searches
